track_id,name,uri,genres,vietnamese_genres,emotion_genres
7ssVARiCxa9KentfZXhZEr,Tèn Tèn Girls! (feat. Tlinh & Suboi),spotify:track:7ssVARiCxa9KentfZXhZEr,"['vietnamese hip hop', 'v-pop']",['vietnamese hip hop'],['v-pop']
2GE2p2dFpxp7OIz2QOFBzW,"KIM PHÚT, KIM GIỜ (feat. HURRYKNG, HIEUTHUHAI, Negav, Pháp Kiều & Isaac)",spotify:track:2GE2p2dFpxp7OIz2QOFBzW,"['v-pop', 'vietnamese hip hop']",['vietnamese hip hop'],['v-pop']
0x8eOq82AlrU7mnsP28SYI,Lời Cảm Ơn,spotify:track:0x8eOq82AlrU7mnsP28SYI,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
4Wxtt0dAbPrXZDu4wfR8dN,"NÀNG (feat. Ogenus, Anh Tú & Đặng Thái Bình)",spotify:track:4Wxtt0dAbPrXZDu4wfR8dN,"['vietnamese hip hop', 'v-pop']",['vietnamese hip hop'],['v-pop']
2naHX4cacns359w3ugyt3P,ĐÂU PHẢI VỢ ANH (feat. Dangrangto),spotify:track:2naHX4cacns359w3ugyt3P,"['vietnamese hip hop', 'v-pop']",['vietnamese hip hop'],['v-pop']
6zP11Nw7gRKb52mpH5xJ3l,Không Thể Say (Live Band Version),spotify:track:6zP11Nw7gRKb52mpH5xJ3l,"['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']","['vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie']",['v-pop']
7HEXZEi0o68fflNYw4xhKB,Vành Khuyên Nhỏ (feat. Liu Grace),spotify:track:7HEXZEi0o68fflNYw4xhKB,"['vietnamese hip hop', 'v-pop']",['vietnamese hip hop'],['v-pop']
4aN50NCNxwV7wKyw9NPZvI,RỨA THÂU (feat. 7dnight),spotify:track:4aN50NCNxwV7wKyw9NPZvI,"['vietnamese hip hop', 'v-pop']",['vietnamese hip hop'],['v-pop']
1xPienWGv0WkWl7YpCZxWf,Ý Em Sao,spotify:track:1xPienWGv0WkWl7YpCZxWf,"['v-pop', 'vietnamese hip hop']",['vietnamese hip hop'],['v-pop']
5ZMDJIYgsZWHXw2ILFblva,Thu Cuối,spotify:track:5ZMDJIYgsZWHXw2ILFblva,"['v-pop', 'vietnamese hip hop', 'vinahouse']",['vietnamese hip hop'],['v-pop']
0LKBtOID8crwKwSlG2W3Vg,Matchanah (feat. Bâu),spotify:track:0LKBtOID8crwKwSlG2W3Vg,"['v-pop', 'vietnamese lo-fi', 'vietnamese hip hop']","['vietnamese lo-fi', 'vietnamese hip hop']",['v-pop']
0v834w6iDIfsUIRvVcEYLR,Deep Sea,spotify:track:0v834w6iDIfsUIRvVcEYLR,"['vietnamese hip hop', 'v-pop']",['vietnamese hip hop'],['v-pop']
5DGzJtVnBIb28IsrY7egHJ,Anh Đã Lớn Hơn Thế Nhiều (feat. Michelle Ngn),spotify:track:5DGzJtVnBIb28IsrY7egHJ,"['vietnamese hip hop', 'v-pop', 'vietnamese lo-fi', 'vietnam indie']","['vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie']",['v-pop']
07d8eaOuAWdC0DANq3tdPd,QUAY ĐI QUAY LẠI (feat. HIEUTHUHAI),spotify:track:07d8eaOuAWdC0DANq3tdPd,"['v-pop', 'vietnamese hip hop']",['vietnamese hip hop'],['v-pop']
4PJtydJOxVcPHCoVUZsVyw,Hào Quang,spotify:track:4PJtydJOxVcPHCoVUZsVyw,"['vietnamese hip hop', 'v-pop', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
4Jp3HONKA2ztto0nDs8Qgt,Mượn Rượu Tỏ Tình,spotify:track:4Jp3HONKA2ztto0nDs8Qgt,"['vietnamese hip hop', 'v-pop', 'vinahouse']",['vietnamese hip hop'],['v-pop']
14khFA3ijq29og5P6GJqDP,Khu Tao Sống,spotify:track:14khFA3ijq29og5P6GJqDP,"['vietnamese hip hop', 'v-pop']",['vietnamese hip hop'],['v-pop']
4JPZBnzODRL4Wyt2XhYCvs,Chẳng Cần Ngày Mai,spotify:track:4JPZBnzODRL4Wyt2XhYCvs,"['v-pop', 'vietnam indie']",['vietnam indie'],['v-pop']
3nkG7srXxyvQpEgiMjQgDm,Lối Đi Riêng (feat. Pháp Kiều),spotify:track:3nkG7srXxyvQpEgiMjQgDm,"['vietnamese hip hop', 'v-pop']",['vietnamese hip hop'],['v-pop']
5TVIipchCkn1Yqx8efX6qB,Gói Lại Một Đời,spotify:track:5TVIipchCkn1Yqx8efX6qB,['v-pop'],[],['v-pop']
7q1qYSyRkGT4ZaCc2ZQihP,Em Còn Nhớ Anh Không - Remastered,spotify:track:7q1qYSyRkGT4ZaCc2ZQihP,"['v-pop', 'vietnamese hip hop', 'vinahouse', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
6K2RhGsliOVLgj7iUaayuD,hai mươi hai (22),spotify:track:6K2RhGsliOVLgj7iUaayuD,"['v-pop', 'vietnam indie']",['vietnam indie'],['v-pop']
1PSmJr2mHzDjYXrKvQPKb0,nàng thơ... trời giấu trời mang đi,spotify:track:1PSmJr2mHzDjYXrKvQPKb0,"['v-pop', 'vietnamese hip hop', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
3y9LcWrqeDqNpGRVT4OJEc,sao anh chưa về nhà,spotify:track:3y9LcWrqeDqNpGRVT4OJEc,"['v-pop', 'vietnamese hip hop', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
5Upw9t03LLGGgOE7LhftjN,xuân hạ thu đông rồi lại xuân,spotify:track:5Upw9t03LLGGgOE7LhftjN,"['v-pop', 'vietnamese hip hop', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
2o0G2pzLmLkswkVd98tc0d,anh nhà ở đâu thế,spotify:track:2o0G2pzLmLkswkVd98tc0d,"['v-pop', 'vietnamese hip hop', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
4zFgUpC8z88A9aEo7dnRPN,Trên Tình Bạn Dưới Tình Yêu,spotify:track:4zFgUpC8z88A9aEo7dnRPN,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
2QpMK4mvdyFW5N0JYohVdW,Em Là Châu Báu,spotify:track:2QpMK4mvdyFW5N0JYohVdW,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
7y5HF80szyShYXpXTAwYtD,Mượn Rượu Tỏ Tình,spotify:track:7y5HF80szyShYXpXTAwYtD,"['v-pop', 'vietnamese hip hop', 'vinahouse', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
5KWeHCDuYBslakPuaoQ9yB,Tứ Phủ,spotify:track:5KWeHCDuYBslakPuaoQ9yB,"['v-pop', 'vinahouse', 'vietnamese hip hop']",['vietnamese hip hop'],['v-pop']
38sxHKwaMeDAn4ppmilyas,Kẽo Cà Kẽo Kẹt,spotify:track:38sxHKwaMeDAn4ppmilyas,"['v-pop', 'vinahouse', 'vietnamese hip hop']",['vietnamese hip hop'],['v-pop']
5juiUHT5HSYUexbmPIVeOV,"xuân, hạ, thu, đông rồi lại xuân",spotify:track:5juiUHT5HSYUexbmPIVeOV,"['v-pop', 'vietnamese hip hop', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
63q4o5Nh1ykbhdo4rKEW9c,Dịu Dàng Em Đến,spotify:track:63q4o5Nh1ykbhdo4rKEW9c,"['v-pop', 'vinahouse', 'vietnam indie']",['vietnam indie'],['v-pop']
6aeU5IH8DB1qHK5jRFTNUv,Hương (feat. Negav),spotify:track:6aeU5IH8DB1qHK5jRFTNUv,"['v-pop', 'vietnamese hip hop', 'vinahouse', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
0yzBHCOPXkIX3SA1VDWWMW,Hương (HAOZI x RINV Remix),spotify:track:0yzBHCOPXkIX3SA1VDWWMW,"['v-pop', 'vietnamese hip hop', 'vinahouse', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
6a2CmP0QkzWup3fzgD2JIA,Hương (Cukak Remix),spotify:track:6a2CmP0QkzWup3fzgD2JIA,"['v-pop', 'vietnamese hip hop', 'vinahouse', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
4OIJ0dmbMPZ1Rey31i4vCB,Răng Khôn (feat. RIN9) - Cukak Remix,spotify:track:4OIJ0dmbMPZ1Rey31i4vCB,"['v-pop', 'vietnamese lo-fi', 'vinahouse']",['vietnamese lo-fi'],['v-pop']
5UqM9naiwW2YfJnuZfCc6c,Đốt,spotify:track:5UqM9naiwW2YfJnuZfCc6c,"['v-pop', 'vietnamese hip hop', 'vinahouse', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
6lhrQC5IvCv4ICCGs9IZfo,Chàng Trai Sơ Mi Hồng,spotify:track:6lhrQC5IvCv4ICCGs9IZfo,"['v-pop', 'vietnam indie', 'vietnamese lo-fi']","['vietnam indie', 'vietnamese lo-fi']",['v-pop']
50cmxP6KlnQA9IG3q5ckKD,Mascara,spotify:track:50cmxP6KlnQA9IG3q5ckKD,"['v-pop', 'vietnam indie', 'vietnamese hip hop']","['vietnam indie', 'vietnamese hip hop']",['v-pop']
6gVcEa3yj1lSAmeuC1U5x1,Nói Hoặc Không Nói,spotify:track:6gVcEa3yj1lSAmeuC1U5x1,"['v-pop', 'vietnamese hip hop', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
4LWi5iOFhtccqLAWmInFXq,This Way,spotify:track:4LWi5iOFhtccqLAWmInFXq,['v-pop'],[],['v-pop']
5tuggdTrO21Wi9ydcyUXlX,Qua Khung Cửa Sổ,spotify:track:5tuggdTrO21Wi9ydcyUXlX,"['v-pop', 'vietnam indie', 'vietnamese hip hop']","['vietnam indie', 'vietnamese hip hop']",['v-pop']
3XEWLLxZ3dib4jz712CaGj,Lời Đường Mật (feat. HIEUTHUHAI),spotify:track:3XEWLLxZ3dib4jz712CaGj,"['v-pop', 'vietnamese hip hop', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
06PmWcNQ2zyzzbC6w8CqZO,Hành Tinh Ánh Sáng,spotify:track:06PmWcNQ2zyzzbC6w8CqZO,"['v-pop', 'vietnam indie']",['vietnam indie'],['v-pop']
4p0oGfPJqrrmdBC2GG6iK2,Cầu Hôn - Happy Version,spotify:track:4p0oGfPJqrrmdBC2GG6iK2,"['v-pop', 'vietnamese hip hop', 'vinahouse', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
7sspONJ8mKF1tnETDulMKY,Thời Thanh Xuân Sẽ Qua,spotify:track:7sspONJ8mKF1tnETDulMKY,"['v-pop', 'vietnam indie']",['vietnam indie'],['v-pop']
0b3N9S5FHJ4h9k7IsKDVSy,Thiên Đàng,spotify:track:0b3N9S5FHJ4h9k7IsKDVSy,"['vietnamese hip hop', 'v-pop']",['vietnamese hip hop'],['v-pop']
6qtrL9Np30qyQpy1Od4AmG,anh nhà ở đâu thế,spotify:track:6qtrL9Np30qyQpy1Od4AmG,"['v-pop', 'vietnamese hip hop', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
4Tf9rW9ZTbvSKxV4ocXBhB,"Ngày Tận Thế (feat. Da LAB, Touliver)",spotify:track:4Tf9rW9ZTbvSKxV4ocXBhB,"['v-pop', 'vietnam indie', 'vietnamese bolero']","['vietnam indie', 'vietnamese bolero']",['v-pop']
4UxaMIzEAHLGmNeLoutSaL,So Close,spotify:track:4UxaMIzEAHLGmNeLoutSaL,"['vietnamese hip hop', 'v-pop', 'vinahouse', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
7JXtCDK59Fnjxb8us0qFtC,Do For Love (feat. AMEE),spotify:track:7JXtCDK59Fnjxb8us0qFtC,"['vietnamese hip hop', 'v-pop', 'vinahouse', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
0ReId5SRMspb6ISw0rBsBN,CUA,spotify:track:0ReId5SRMspb6ISw0rBsBN,"['vietnamese hip hop', 'v-pop', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
4nsNzuB6sGMr5MHaIJaW5k,Trên Tình Bạn Dưới Tình Yêu (with 16 Typh),spotify:track:4nsNzuB6sGMr5MHaIJaW5k,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
